admission_fraction,offered_rate_qps,requests_measured,requests_ok,error_rate,ttft_mean_ms,ttft_p95_ms,total_mean_ms,total_p95_ms,throughput_req_s,vllm_queue_wait_mean_ms,vllm_ttft_mean_ms,vllm_e2e_mean_ms,gpu_power_mean_w,gpu_power_peak_w,energy_j,energy_per_request_j
1.0,2.0,104,104,0.0,103.05267627884618,147.79650099998776,1668.257124423078,2101.067180000001,2.311111111111111,21.620860808333475,255.99270264307657,1882.8847249348958,64.19623636363636,78.125,3588.3925368970554,34.50377439324092
0.75,2.0,81,81,0.0,117.30393349382793,167.23733800000673,1735.8433253703702,2137.6433690000167,1.8,0.14162526804167222,91.87905813000866,1644.4492708776415,64.03308333333334,79.105,3531.4287376640973,43.59788565017404
0.5,2.0,85,85,0.0,122.4547243058864,173.43131900003073,1873.6600544588268,2135.7204459999934,1.8888888888888888,0.3849049622607159,102.98381211622706,1852.3916388457676,65.06337962962962,84.175,3594.598729248536,42.28939681468866
0.25,2.0,99,99,0.0,118.24953434343529,177.6821670000004,1762.2570660505046,2231.84833199997,2.2,0.14862168907276108,92.86395441584226,1675.0964076579119,65.95971559633027,78.371,3676.316234892152,37.134507423153046
0.1,2.0,93,93,0.0,310.4496951290352,1243.7579730000152,1885.7367484731212,3218.5214059999794,2.066666666666667,173.0569180263176,258.6659925025806,1784.7361313669305,65.26239285714286,80.128,3710.549021744731,39.89837657790033
0.05,2.0,78,78,0.0,616.5391024102561,3433.5970709999515,1799.7791207435898,5284.445563000019,1.7333333333333334,466.20644847572896,528.8571408651408,1683.148972039084,66.32051260504201,74.657,3997.1252639091285,51.245195691142676
